Target	Source	Weight	Total	Type	max
DE*110001238273	US770333710	100.0	0.0	Directed	50.01
DE*1550213942	US770333710	100.0	0.0	Directed	50.01
DE*1550213968	US770333710	100.0	0.0	Directed	50.01
DE*1550213986	US770333710	100.0	0.0	Directed	50.01
DE*310530549	DK76247218	100.0	100.0	Directed	100.0
DE2011811281	LULB100468	100.0	100.0	Directed	100.0
DE2012165183	MICROSOFT CORP.	34.05762550234998	100.0	Directed	100.0
DE2012165183	DE8330001687	65.94237449765002	0.0	Directed	96.81
DE2190479708	IE290284	100.0	100.0	Directed	100.0
DE4050139586	FI25836605	100.0	100.0	Directed	100.0
DE4050190975	DE4050139586	100.0	100.0	Directed	100.0
DE4050292629	DE4050190975	100.0	100.0	Directed	100.0
DE4050293626	DE4050190975	100.0	100.0	Directed	100.0
DE5010337019	IE342235	100.0	100.0	Directed	100.0
DE6070482460	US770333710	100.0	50.01	Directed	50.01
DE6070628650	US770333710	100.0	50.01	Directed	50.01
DE7150080919	US770333710	0.0	50.01	Directed	50.01
DE7150080919	DE6070482460	100.0	100.0	Directed	100.0
DE7270211869	IE290284	100.0	100.0	Directed	100.0
DE7270292811	NL17103708	100.0	100.0	Directed	100.0
DE7330067501	DE6070628650	100.0	100.0	Directed	100.0
DE7331012194	MICROSOFT CORP.	0.0	100.0	Directed	100.0
DE7331012194	DE7270292811	100.0	100.0	Directed	100.0
DE8170505539	IE290284	100.0	100.0	Directed	100.0
DE8170890175	GB07897159	100.0	100.0	Directed	100.0
DE8170916079	US470912023	0.0	50.01	Directed	50.01
DE8170916079	IE477441	100.0	100.0	Directed	100.0
DE8330001687	BM37999R	100.0	100.0	Directed	100.0
DE8330312919	IE342235	100.0	100.0	Directed	100.0
DE8330480840	IE256796	100.0	100.0	Directed	100.0
DK13612870	ESB82578063	100.0	100.0	Directed	100.0
DK29970955	US149209410L	100.0	100.0	Directed	100.0
DK33644949	US248913398L	100.0	100.0	Directed	100.0
DK76247218	MICROSOFT CORP.	100.0	100.0	Directed	100.0
DO4551SDQ	MICROSOFT CORP.	100.0	0.0	Directed	50.01
DZ02B0016919	MICROSOFT CORP.	100.0	0.0	Directed	50.01
EC1791253868001	MICROSOFT CORP.	100.0	0.0	Directed	50.01
EE10955527	MICROSOFT CORP.	100.0	100.0	Directed	100.0
EG0000011343	MICROSOFT CORP.	100.0	0.0	Directed	50.01
ESB62198247	US770333710	100.0	50.01	Directed	50.01
ESB78603495	ESB82578063	100.0	100.0	Directed	100.0
ESB82578063	MICROSOFT CORP.	100.0	100.0	Directed	100.0
ESB86198611	IE477441	100.0	100.0	Directed	100.0
ESB86198611	US470912023	0.0	50.01	Directed	50.01
FI08974643	ESB82578063	100.0	100.0	Directed	100.0
FI20583661	FI25836605	100.0	100.0	Directed	100.0
FI23771473	FI25836605	100.0	100.0	Directed	100.0
FI24229862	FI25836605	100.0	100.0	Directed	100.0
FI24229862	MICROSOFT CORP.	0.0	50.01	Directed	50.01
FI25836605	LULB180480	100.0	100.0	Directed	100.0
FI25836605	MICROSOFT CORP.	0.0	50.01	Directed	50.01
FR*110000776589	IT03126921208	100.0	100.0	Directed	100.0
FR327733184	MICROSOFT CORP.	100.0	0.0	Directed	99.0
FR402471106	DK76247218	100.0	100.0	Directed	100.0
FR421340076	US770333710	100.0	0.0	Directed	50.01
FR493271522	FI25836605	100.0	99.9	Directed	99.9
FR504586140	MICROSOFT CORP.	100.0	100.0	Directed	100.0
FR519059281	US470912023	0.0	50.01	Directed	50.01
FR519059281	IE477441	100.0	100.0	Directed	100.0
FR534969647	MICROSOFT CORP.	100.0	100.0	Directed	100.0
GB*1550045304	US770333710	100.0	0.0	Directed	50.01
GB*1550045309	US770333710	100.0	0.0	Directed	50.01
GB01500669	FI25836605	100.0	100.0	Directed	100.0
GB01624297	LULB180461	100.0	99.0	Directed	99.0
GB01905690	GB02646104	100.0	0.0	Directed	52.0
