Target	Source	Weight	Total	Type	max
NL64788075	NL55808646	0.0	100.0	Directed	100.0
NL65074289	NL55976255	100.0	100.0	Directed	100.0
NL65074289	NL55808646	0.0	100.0	Directed	100.0
NL65851307	NL55808646	100.0	100.0	Directed	100.0
NL65861922	NL55808646	100.0	100.0	Directed	100.0
NL66090571	NL60470232	100.0	100.0	Directed	100.0
NL66090571	NL55808646	0.0	100.0	Directed	100.0
NL66696550	NL66090571	100.0	100.0	Directed	100.0
NL66696550	NL55808646	0.0	100.0	Directed	100.0
NL69444692	NL58046143	100.0	100.0	Directed	100.0
NL69453632	NL69444692	100.0	100.0	Directed	100.0
NL69720770	NL58046143	100.0	100.0	Directed	100.0
NO911572656	NL55976255	100.0	100.0	Directed	100.0
NO911572656	NL55808646	0.0	100.0	Directed	100.0
NZ9429030215177	NL55976255	100.0	100.0	Directed	100.0
NZ9429030215177	NL55808646	0.0	100.0	Directed	100.0
PA812932RPP	NL55976255	100.0	100.0	Directed	100.0
PA812932RPP	NL55808646	0.0	100.0	Directed	100.0
PE20556126764	NL55976255	64.28571428571429	0.0	Directed	90.0
PE20556126764	NL55808646	35.714285714285715	100.0	Directed	100.0
PHCS201324016	NL55976255	100.0	100.0	Directed	100.0
PHCS201324016	NL55808646	0.0	99.99	Directed	99.99
PHFS201609620	NL55808646	100.0	100.0	Directed	100.0
PK0100860	NL55808646	100.0	100.0	Directed	100.0
PL147019422	NL55976255	64.28571428571429	0.0	Directed	90.0
PL147019422	NL55808646	35.714285714285715	100.0	Directed	100.0
PL363180110	NL55976255	64.28571428571429	0.0	Directed	90.0
PL363180110	NL55808646	35.714285714285715	100.0	Directed	100.0
PT510481442	NL55976255	100.0	0.0	Directed	99.0
PT513318992	NL55976255	100.0	100.0	Directed	100.0
PT513318992	NL55808646	0.0	100.0	Directed	100.0
PT514603720	NL55976255	100.0	100.0	Directed	100.0
PY*920618875	NL55808646	100.0	100.0	Directed	100.0
QA*920618896	NL55808646	100.0	100.0	Directed	100.0
RO33437533	NL55976255	100.0	0.0	Directed	99.0
RU20662521N	NL55976255	100.0	0.0	Directed	99.0
RW*920618915	NL55808646	100.0	100.0	Directed	100.0
SA0046930069	NL55808646	100.0	100.0	Directed	100.0
SE5569118259	NL55976255	100.0	100.0	Directed	100.0
SE5569118259	NL55808646	0.0	100.0	Directed	100.0
SG*920618881	NL55808646	100.0	100.0	Directed	100.0
SG201301465Z	NL55976255	100.0	100.0	Directed	100.0
SG201301465Z	NL55808646	0.0	100.0	Directed	100.0
SG201504621K	NL55808646	100.0	100.0	Directed	100.0
SG201624597K	NL55808646	100.0	100.0	Directed	100.0
SK48112739	NL55976255	100.0	0.0	Directed	85.0
SV*920618868	NL55808646	100.0	100.0	Directed	100.0
TR*904715515	NL55808646	100.0	100.0	Directed	100.0
TT*920618862	NL55808646	100.0	100.0	Directed	100.0
TW*904715531	NL55976255	100.0	100.0	Directed	100.0
TW*904715531	NL55808646	0.0	100.0	Directed	100.0
TZ*920618919	NL55808646	100.0	100.0	Directed	100.0
UA40330429	NL55808646	100.0	100.0	Directed	100.0
UGT224054	NL55808646	100.0	100.0	Directed	100.0
US*D00392977	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US*Z00234013	UBER TECHNOLOGIES INC	100.0	100.0	Directed	100.0
US141628704L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US208051959L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US272979464L	UBER TECHNOLOGIES INC	100.0	100.0	Directed	100.0
US277221005L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US279302105L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US281096243L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
US281151125L	UBER TECHNOLOGIES INC	100.0	0.0	Directed	50.01
UY*920618852	NL55976255	100.0	100.0	Directed	100.0
UY*920618852	NL55808646	0.0	100.0	Directed	100.0
VN0312969311	NL55976255	100.0	100.0	Directed	100.0
VN0312969311	NL55808646	0.0	100.0	Directed	100.0
ZA201313998907	NL55976255	100.0	100.0	Directed	100.0
ZA201313998907	NL55808646	0.0	100.0	Directed	100.0
