Id	coreNACE2	Label	city	Country	legalForm	turnover	employees	assets	pl
ESB62891205	47	FUTBOL CLUB BARCELONA MERCHANDISING SL	BARCELONA	ES	C	55.43	137.0	19.18	2.0
NL32124653	64	NIKE GROUP HOLDING B.V.	HILVERSUM	NL	F		1.0	11.98	
RU59803846	46	NIKE LIMITED LIABILITY COMPANY	MOSCOW	RU	C				
NL32124650	64	NIKE FUEL B.V.	HILVERSUM	NL	F		1.0	1.3	
VN2-95887		NIKE VIETNAM LTD LIABILITY COMPANY		VN	C				
US129117088L	47	NIKE VISION TIMING TECH LAB	AUSTIN	US	C				
NL51315467	64	NIKE VOMERO COÖPERATIEF U.A.	HILVERSUM	NL	C		1.0	352.68	
NL32139662	64	CONVERSE TRADING COMPANY B.V.	HILVERSUM	NL	F		5.0	3.29	
NL32135791	64	NIKE TRADING COMPANY B.V.	HILVERSUM	NL	F	9923.88	122.0	7720.77	846.0
BM41362R		NIKE WAFFLE	HILVERSUM	BM	C				
SI2-95827		NIKE WHOLESALE LLC		SI	C				
US2-95882		NIKE WOODSIDE I HOLDINGS INC	OREGON	US	C				
US2-95880		NIKE WOODSIDE I LLC	OREGON	US	C				
US2-95883		NIKE WOODSIDE II HOLDINGS INC	OREGON	US	C				
US2-95881		NIKE WOODSIDE II LLC	OREGON	US	C				
US2-95884		NIKE ZOOM LLC		US	C				
ID2-95770		PT HURLEY INDONESIA		ID	C				
IDLEI52731		PT NIKE INDONESIA	JAKARTA	ID	C				
US2-95763		TRIAX INSURANCE INC		US	A				
HK0000201904		TWIN DRAGONS GLOBAL LIMITED		HK	C				
JP2-95779		YUGEN KAISHA HURLEY JAPAN		JP	C				
US255480308L	46	GRABIT INC	SUNNYVALE	US	C	3.0	1.0		
